"","X.1","Study_number","Site_ID","Latitude","Longitude","R","p_R","Q","p_Q","Ts_mean","Q10_Rs","obs","Q_Rh","p_Q_Rh","Q10_Rh","obs_Rh","Q_Ra","p_Q_Ra","Q10_Ra","obs_Ra","IGBP","Ecosystem","IGBP_group","barren_yn","ClimateTypes","MiddleClimate","Ecosystem2","warner_rs","Q10_diff","IGBP_FromPaper","X","ID","CLY","SLT","CEC","PHIKCL","BD","ORC","prec_mean","temp_mean","ai_resampled","et0_resampled","AGB","BGB","GPP","EVI","N_DEC","AM","EcM","ErM","NM","clay_temp_ratio","cec_clay_ratio","clay_silt_sum","Qa_Qh","elev_avg","nitrogen_avg","pred_avg","MAOC","POC","Qa.Qh","cec_clay_rati","C_N_rati","ALd","ALo","ALp","Fed","Feo","Fep","OC_Fe"
"11",11,1343,"RU-PUS-GRA2",55.25,37.75,0.576465651,0.0024,0.066514801,0.0021,8.692272727,1.944778356,22,0.062079869,1e-04,1.860413341,22,0.071372684,0.0475,2.041585763,22,"DBF","Agriculture","CRO",0,"Dfb","Df","Agriculture",329.9157196,0.181172422,"DBF","",11,20,50,39,60,953,89,658,572,7997.169922,773.911499023438,46,893,2217.1552734375,2608.39306640625,1.21862053871155,10,88,1,1,0.034965034965035,1.95,70,1.09738288691405,201.999420166016,586.130493164062,58.6505404099187,10.30694048,2.178429123,1.09738288691405,1.95,0.151843319939828,5.0902042388916,5.64353370666504,2.96938371658325,16.5717239379883,8.17583656311035,1.82764792442322,NA
"12",12,1397,"CA-SAS-CCCUT",54.25,-104.25,0.675799771,5e-04,0.081019514,1e-04,16.03882353,2.248346678,9,0.072313727,0,2.060888651,9,0.097740384,0.0154,2.657547858,9,"ENF","Agriculture","CRO",0,"Dfc","Df","Agriculture",289.7111652,0.596659207,"ENF","",12,19,33,51,52,800,197,489,-79,6062.9267578125,805.237365722656,62,798,1987.89367675781,2123.64428710938,0.236566781997681,10,88,1,1,-0.240506329,2.68421052631579,52,1.289515499,413.005584716797,217.498596191406,133.107556697436,9.858926055,4.247945694,1.289515499,2.68421052631579,0.905752972431294,2.82777738571167,4.29694080352783,2.10539937019348,9.69942665100098,6.73026275634766,1.67014288902283,3.66835784912109
"13",13,1397,"CA-SAS-OJPA",54.25,-104.25,0.828925484,0,0.091300614,0,16.03882353,2.491801987,8,0.119896938,0.0072,3.316696917,8,0.085280449,0,2.346217575,8,"ENF","Agriculture","CRO",0,"Dfc","Df","Agriculture",289.7111652,-0.970479342,"ENF","",13,19,33,51,52,800,197,489,-79,6062.9267578125,805.237365722656,62,798,1987.89367675781,2123.64428710938,0.236566781997681,10,88,1,1,-0.240506329,2.68421052631579,52,0.707395831971945,413.005584716797,217.498596191406,133.107556697436,9.858926055,4.247945694,0.707395831971945,2.68421052631579,0.905752972431294,2.82777738571167,4.29694080352783,2.10539937019348,9.69942665100098,6.73026275634766,1.67014288902283,3.66835784912109
"14",14,1438,"FR-HEF",48.75,7.25,0.480977794,2e-04,0.110337618,0,11.23882353,3.014325783,34,0.091642599,0,2.500338171,17,0.183448931,1e-04,6.26193544,17,"DBF","Agriculture","CRO",0,"Cfb","Cf","Agriculture",405.1805352,3.761597269,"DBF","",14,20,46,18,52,1132,34,747,1081,9571.6875,873.970031738281,30,1198,3562.90405273438,4006.91381835938,1.68048548698425,5,89,5,1,0.0185013876040703,0.9,66,2.50443540502986,301.254486083984,270.669281005859,60.1368176902449,11.54079671,1.986656276,2.50443540502986,0.9,0.125614550249845,7.80275774002075,3.95802330970764,2.21201395988464,8.672607421875,3.75041246414185,1.20628333091736,3.85723304748535
"15",15,1639,"US-SET-CK",34.75,-78.75,0.815359901,0.0542,0.0692497,0.0041,18.2225,1.998700064,12,0.075598986,0.0119,2.129718596,12,0.048943263,0,1.631390353,12,"WSA","Savanna","GRA",0,"Cfa","Cf","Savanna",565.2763415,-0.498328243,"ENF","",15,13,30,13,46,1445,29,1209,1937,8172.1416015625,1474.90954589844,26,1323,3691.603516,3891.01513671875,0.891966998577118,25,69,5,1,0.00671140939597315,1,43,0.766012165205323,17.2498359680176,164.465698242188,92.4436848232237,9.825764652,2.005488799,0.766012165205323,1,0.176328561578205,8.04213428497314,3.66845607757568,1.97860705852509,26.97340965271,3.72789812088013,0.975850522518158,2.4439845085144
"16",16,1665,"JP-KFR-CK",33.25,130.75,0.54114157,0.001,0.059982688,1e-04,16.64583333,1.821803391,12,0.051796078,0.0194,1.678601126,12,0.067964834,0,1.973183713,12,"ENF","Forest","MF",0,"Cfa","Cf","T&B FOR",409.5033491,0.294582588,"ENF","",16,27,42,28,44,1161,53,2191,1651,19426.955078125,1085.734375,33,1160,5255.080078,3836.09521484375,0.99826854467392,40,56,1,3,0.0163537250151423,1.03703703703704,69,1.17549290444119,352.009826660156,285.970306396484,132.261690548189,3.459915202,3.476087346,1.17549290444119,1.03703703703704,0.185333927385167,10.229887008667,8.68399143218994,3.65079236030579,22.4535255432129,4.67137384414673,2.70229911804199,3.72114014625549
"17",17,1777,"FR-HEF",48.75,7.25,0.579061067,2e-04,0.11402983,0,10.73375,3.12770123,16,0.081441413,0,2.257852482,16,0.150548883,0,4.506355918,16,"CVM","Agriculture","CRO",0,"Cfb","Cf","Agriculture",405.1805352,2.248503435,"DBF","",17,20,46,18,52,1132,34,747,1081,9571.6875,873.970031738281,30,1198,3562.90405273438,4006.91381835938,1.68048548698425,5,89,5,1,0.0185013876040703,0.9,66,1.99585931938666,301.254486083984,270.669281005859,60.1368176902449,11.54079671,1.986656276,1.99585931938666,0.9,0.125614550249845,7.80275774002075,3.95802330970764,2.21201395988464,8.672607421875,3.75041246414185,1.20628333091736,3.85723304748535
"18",18,1930,"US-BLO",39.25,-120.25,2.50090152,0,0.028191246,1e-04,14.474375,1.325662663,32,0.026990569,1e-04,1.309840917,32,0.029627363,0,1.344838095,32,"ENF","Forest","EF",0,"Csb","Cs","T&B FOR",390.1613642,0.034997178,"ENF","",18,8,32,31,46,877,175,1020,629,6733.42822265625,1448.42712402344,50,988,2814.73413085938,2274.97729492188,0.53008359670639,25,69,5,1,0.0127186009538951,3.875,40,1.02671864769667,1511.267578,237.232147216797,34.6104799662251,9.580810339,3.70738633,1.02671864769667,3.875,0.737674054941949,6.084397315979,8.33882141113281,3.92424154281616,21.1114730834961,7.28202152252197,2.64755249023438,2.06507778167725
"19",19,2355,"JP-MON",36.89,137.43,0.793356004,0.0639,0.098365896,0.0023,15.96166667,2.67422323,12,0.091042177,0.0016,2.485370571,12,0.122450561,0.062,3.402483524,12,"DBF",NA,NA,NA,NA,NA,NA,NA,0.917112953,"DBF","",19,26,44,31,50,1102,42,2248,1632,6428.4990234375,1065.98767089844,45,1216,3535.1142578125,1268.33410644531,0.96120673418045,NA,NA,NA,NA,0.0159313725490196,1.19230769230769,70,1.36900451131961,2.25037741661072,373.5986328,41.6185434625399,19.22143025,6.758795893,1.36900451131961,1.19230769230769,0.11242011161502,NA,NA,NA,NA,NA,NA,NA
"20",20,2534,"CA-BND-20YRPD",56.25,-98.25,1.013067727,0,0.054401106,0,3.264666667,1.722903697,15,0.042210573,0,1.525169772,15,0.081927781,1e-04,2.268860701,15,"ENF","Shrubland","SH",0,"Dfc","Df","Shrubland",250.9179434,0.743690929,"ENF","",20,31,28,54,50,929,258,519,-432,7296.77978515625,703.326293945312,135,1256,1462.87841796875,1641.00207519531,0.181421473622322,3,87,5,5,-0.071759259,1.74193548387097,59,1.4876118991165,299.99951171875,233.502487182617,226.508639488765,2.712496855,1.025205594,1.4876118991165,1.74193548387097,1.10491328427788,4.13198661804199,5.986168384552,1.82749342918396,14.5922565460205,9.11635398864746,2.01884150505066,3.97457432746887
"21",21,3017,"JP-TEF",36.25,137.75,1.073253056,0.0062,0.102368408,1e-04,10.56866667,2.783430269,15,0.120128122,3e-04,3.324373454,15,0.074023857,9e-04,2.096435599,15,"DBF","Forest","MF",0,"Dfb","Df","T&B FOR",420.6892195,-1.227937855,"DBF","",21,15,40,33,38,817,171,1835,597,20975.96094,863.377075195312,84,878,3178.39501953125,3508.99560546875,1.11476492881775,20,78,1,1,0.0251256281407035,2.2,55,0.630625778965205,1452.66967773438,549.202514648438,219.322916150253,17.38857457,5.598717001,0.630625778965205,2.2,0.311360555421824,7.84084177017212,9.3773307800293,4.98072004318237,17.7517433166504,9.71434211730957,3.56466388702393,0
"22",22,3148,"US-HJA-CK",44.25,-121.75,1.212746017,0,0.06119274,0,NA,1.84398206,36,0.051525749,0.0034,1.674069502,24,0.065063275,0.0354,1.916753277,24,"ENF","Forest","EF",0,"Csb","Cs","T&B FOR",415.3905124,0.242683776,"ENF","",22,6,34,36,43,846,124,1421,472,12222.3173828125,1150.60693359375,48,1008,2553.24536132812,1869.66381835938,0.369371980428696,25,69,5,1,0.0127118644067797,6,40,1.14496636771058,1069.01208496094,165.640716552734,60.1534110702746,11.71864444,4.932929281,1.14496636771058,6,0.748608208058087,8.91017150878906,5.4586238861084,2.14498925209045,15.8858051300049,5.09158229827881,1.55884623527527,2.26979327201843
"23",23,3179,"US-BOC-CKHNP",65.25,-147.75,1.631815724,0.0027,0.140791072,0.0035,4.511176471,4.087406748,10,0.114465692,0.0018,3.141363431,10,0.15627469,0.01,4.771911221,10,"ENF","Wetland","WAT",0,"Dfc","Df","Wetland",161.1613383,1.63054779,"ENF","",23,12,56,51,44,698,245,297,-603,4890.3125,632.660034179688,120,539,1189.34594726562,1644.32983398438,0.160538494586945,10,88,1,1,-0.019900498,4.25,68,1.51905735385763,128.545014121316,508.256183971058,252.797779982379,15.08413756,5.044597829,1.51905735385763,4.25,0.482040372014344,6.40090560913086,10.4028491973877,5.0156192779541,15.9455451965332,12.6009368896484,3.05487394332886,NA
"24",24,3179,"US-BOC-CKMDP",65.25,-147.75,1.614858984,0.0013,0.099645967,0.0165,4.511176471,2.708675221,11,0.072785453,0.0233,2.070633348,11,0.137386087,0.0597,3.950573941,11,"ENF","Wetland","WAT",0,"Dfc","Df","Wetland",161.1613383,1.879940593,"ENF","",24,12,56,51,44,698,245,297,-603,4890.3125,632.660034179688,120,539,1189.34594726562,1644.32983398438,0.160538494586945,10,88,1,1,-0.019900498,4.25,68,1.90790607367345,128.545014121316,508.256183971058,252.797779982379,15.08413756,5.044597829,1.90790607367345,4.25,0.482040372014344,6.40090560913086,10.4028491973877,5.0156192779541,15.9455451965332,12.6009368896484,3.05487394332886,NA
"25",25,3179,"US-BOC-ICKLSP",65.25,-147.75,0.937546335,0.0011,0.167077921,3e-04,4.511176471,5.316308694,13,0.125621005,3e-04,3.512085605,13,0.21565316,0.0032,8.641114789,13,"ENF","Wetland","WAT",0,"Dfc","Df","Wetland",161.1613383,5.129029184,"ENF","",25,12,56,51,44,698,245,297,-603,4890.3125,632.660034179688,120,539,1189.34594726562,1644.32983398438,0.160538494586945,10,88,1,1,-0.019900498,4.25,68,2.46039412498888,128.545014121316,508.256183971058,252.797779982379,15.08413756,5.044597829,2.46039412498888,4.25,0.482040372014344,6.40090560913086,10.4028491973877,5.0156192779541,15.9455451965332,12.6009368896484,3.05487394332886,NA
"26",26,3561,"IE-DOO-IV",53.25,-6.75,0.312569332,0.0377,0.147690983,0.0016,9.941818182,4.379391684,11,0.133428,0.0672,3.797260939,11,0.162658058,0,5.086452225,11,"GRA","Grassland","GRA",0,"Cfb","Cf","Grassland",551.5788923,1.289191286,"GRA","",26,23,39,25,56,978,78,861,1101,12376.0087890625,695.634704589844,49,1028,3479.13500976562,4901.53076171875,0.573659062385559,90,5,0,5,0.0208900999091735,1.08695652173913,62,1.33950558223673,78.000129699707,477.851776123047,69.4078875439072,11.05020139,1.546198707,1.33950558223673,1.08695652173913,0.163230532766535,7.7214789390564,6.84738445281982,2.9888072013855,11.199390411377,4.64623785018921,1.8323085308075,1.19846880435944
"27",27,3592,"JP-KYM-BEECH",35.75,135.25,0.765535968,0.0274,0.095538146,0.0011,14.68714286,2.599662057,14,0.106496331,0.0019,2.900732566,14,0.079623594,0.0698,2.217179614,14,"DBF","Wetland","WAT",0,"Cfa","Cf","Wetland",490.317314,-0.683552952,"DBF","",27,25,42,34,41,1035,118,2054,1591,6296.363281,1122.07116699219,61,1041,4561.27392578125,3118.06225585938,1.08808028697968,20,78,1,1,0.0157133878064111,1.36,67,0.764351612412656,165.996551513672,519.315612792969,186.167868272589,13.12998981,4.909584904,0.764351612412656,1.36,0.227222130614128,NA,NA,NA,NA,NA,NA,NA
"28",28,3592,"JP-KYM-CEDER",35.75,135.25,1.004283251,0.0021,0.082371411,1e-04,14.68714286,2.278948396,14,0.091057295,8e-04,2.485746333,14,0.072501657,0.0534,2.06476531,14,"DBF","Wetland","WAT",0,"Cfa","Cf","Wetland",490.317314,-0.420981023,"DBF","",28,25,42,34,41,1035,118,2054,1591,6296.363281,1122.07116699219,61,1041,4561.27392578125,3118.06225585938,1.08808028697968,20,78,1,1,0.0157133878064111,1.36,67,0.830642001795925,165.996551513672,519.315612792969,186.167868272589,13.12998981,4.909584904,0.830642001795925,1.36,0.227222130614128,NA,NA,NA,NA,NA,NA,NA
"29",29,3592,"JP-KYM-KYOTO",35.25,136.25,0.583806107,0.0042,0.099561633,0,14.68714286,2.706391856,20,0.090311081,1e-04,2.467266391,20,0.11357315,0,3.113450206,20,"DBF","Wetland","WAT",0,"Cfa","Cf","Wetland",473.5492446,0.646183814,"DBF","",29,24,41,19,47,1244,26,1782,1696,15551.8466796875,1133.11059570312,28,1236,4359.9736328125,2680.8037109375,1.07258367538452,40,40,0,20,0.0141509433962264,0.791666666666667,65,1.26190273468529,117.002151489258,415.021759033203,66.767672546507,13.01975984,5.425494941,1.26190273468529,0.791666666666667,0.0626473177227315,NA,NA,NA,NA,NA,NA,NA
"30",30,3592,"JP-KYM-NOB",36.25,138.75,0.404175631,0.0766,0.1184853,0.0039,14.68714286,3.270206073,14,0.111063008,0.0154,3.036270881,14,0.141656982,3e-04,4.122953682,14,"DBF","Forest","MF",0,"Cfa","Cf","T&B FOR",418.9953074,1.086682801,"DBF","",30,23,39,26,44,1176,60,1160,1399,11186.541015625,1094.14819335938,42,1128,3860.359375,3364.64208984375,1.13922739028931,20,78,1,1,0.0164403145103645,1.1304347826087,62,1.35790047844549,489.483154296875,329.804809570312,92.9058936131961,4.208042676,2.276034088,1.35790047844549,1.1304347826087,0.181925788402453,8.55485534667969,6.54205513000488,2.89197301864624,23.0214328765869,4.63397026062012,1.04217112064362,3.28637075424194
"31",31,3592,"JP-KYM-OAK",35.75,135.25,0.65738619,0.0036,0.095908255,0,14.68714286,2.609301471,15,0.102121656,0.0029,2.776570576,15,0.088399986,0.0354,2.420562283,15,"DBF","Wetland","WAT",0,"Cfa","Cf","Wetland",490.317314,-0.356008293,"DBF","",31,25,42,34,41,1035,118,2054,1591,6296.363281,1122.07116699219,61,1041,4561.27392578125,3118.06225585938,1.08808028697968,20,78,1,1,0.0157133878064111,1.36,67,0.871781291613025,165.996551513672,519.315612792969,186.167868272589,13.12998981,4.909584904,0.871781291613025,1.36,0.227222130614128,NA,NA,NA,NA,NA,NA,NA
"32",32,3649,"CN-CBM",42.75,128.25,1.189619265,1e-04,0.101586256,0,6.495714286,2.761744548,14,0.103704723,0,2.820875313,14,0.098098496,0,2.667081918,14,"ENF","Forest","MF",0,"Dwb","Dsw","T&B FOR",428.4577378,-0.153793396,"ENF","",32,16,43,30,47,1156,72,647,373,7102.62744140625,910.246398925781,50,1088,2528.1923828125,2671.87841796875,0.799718201160431,20,78,1,1,0.0428954423592493,1.875,59,0.94548025774438,566.486938476562,334.197235107422,48.5040088816532,16.77877119,5.670227977,0.94548025774438,1.875,0.215441638758193,4.21835708618164,5.48437881469727,1.8183274269104,11.2695980072021,9.80570602416992,2.19502258300781,3.72115898132324
"33",33,3705,"CN-MFR",22.25,101.75,0.430475675,0.0211,0.093237186,1e-04,19.76458333,2.540527811,24,0.080088028,0.0022,2.227500889,24,0.132859014,0.0019,3.775716384,24,"MF","Forest","EF",0,"Cwa","Cw","T&B FOR",498.1735956,1.548215495,"MF","",33,33,33,26,45,1150,45,1642,2377,10245.01953,1410.56591796875,34,1155,5984.16162109375,4543.742188,0.667816519737244,75,20,4,1,0.0138830458561212,0.787878787878788,66,1.69504596054058,945.297790527344,218.115707397461,76.5052711261745,13.39692336,2.909460168,1.69504596054058,0.787878787878788,0.206312514293154,10.1698989868164,4.37969398498535,2.33622455596924,50.0107688903809,3.05357503890991,1.3365650177002,1.99237620830536
"34",34,3795,"CN-FSK-BSV",35.25,114.75,0.190697202,0.3384,0.129589043,0.0106,21.00933333,3.654248394,30,0.113856309,0.0525,3.122278716,30,0.140124932,0.0936,4.06026936,30,"CRO","Agriculture","CRO",0,"Cwa","Cw","Agriculture",457.4838434,0.937990644,"CRO","",34,18,57,14,61,1381,11,600,1741,4212.513672,1404.96240234375,13,1342,2828.74072265625,2942.50048828125,1.65033221244812,70,0,0,30,0.0103388856978748,0.777777777777778,75,1.30041861387752,62.5,57.1338348388672,22.3672942024298,4.935407498,1.896513662,1.30041861387752,0.777777777777778,0.192530398686224,1.59914326667786,1.69223189353943,0.598810434341431,11.1308135986328,3.0982027053833,0.579502999782562,0.84350597858429
"35",35,3877,"US-EYE-SITE607",44.75,-121.25,0.916651881,0.003,0.037974387,0.0253,11.97090909,1.4619101,11,0.025063735,0.0604,1.284844055,11,0.04758476,0.0499,1.609377728,11,"GRA","Grassland","GRA",0,"Csb","Cs","Grassland",298.3465913,0.324533673,"GRA","",35,16,37,26,61,1406,16,366,1175,2837.01708984375,1503.31030273438,18,1341,900.092224121094,2026.23962402344,0.369371980428696,60,20,15,5,0.0136170212765957,1.625,53,1.25258604087949,597.202392578125,133.476333618164,37.9817059861689,7.093325161,1.551449155,1.25258604087949,1.625,0.119871437627072,3.36102056503296,4.55302429199219,1.93436920642853,12.9899082183838,3.47894763946533,0.927723169326782,1.14840471744537
"36",36,3893,"BE-WPO-BEECH",50.25,4.75,0.52444943,0,0.137031946,0,9.3232,3.936608067,25,0.127025651,0,3.561766081,25,0.152902921,0,4.613695705,25,"CVM","Agriculture","CRO",0,"Cfb","Cf","Agriculture",520.5435011,1.051929624,"CVM","",36,24,56,22,59,1072,42,925,1102,10191.7958984375,813.569580078125,34,1187,3458.02905273438,3965.09692382812,1.47177684307098,94,1,0,5,0.0217785843920145,0.916666666666667,80,1.29533933449797,292.250671386719,270.382568359375,29.5817133763658,13.72650411,1.883878881,1.29533933449797,0.916666666666667,0.155335457662257,7.49362897872925,3.61944103240967,2.44319009780884,12.2470321655273,3.78059649467468,1.21515142917633,2.52414798736572
"37",37,4003,"FR-HFH-H1",48.75,7.25,0.527704478,0,0.1025182,0,9.421081081,2.787602746,18,0.09824849,0,2.671085377,18,0.108761506,2e-04,2.967189045,18,"CVM","Agriculture","CRO",0,"Cfb","Cf","Agriculture",405.1805352,0.296103668,"CVM","",37,20,46,18,52,1132,34,747,1081,9571.6875,873.970031738281,30,1198,3562.90405273438,4006.91381835938,1.68048548698425,5,89,5,1,0.0185013876040703,0.9,66,1.11085518664048,301.254486083984,270.669281005859,60.1368176902449,11.54079671,1.986656276,1.11085518664048,0.9,0.125614550249845,7.80275774002075,3.95802330970764,2.21201395988464,8.672607421875,3.75041246414185,1.20628333091736,3.85723304748535
"38",38,4003,"FR-HFH-H2",48.75,7.25,0.478056001,2e-04,0.109146566,0,9.421081081,2.978636555,19,0.114648302,0,3.147105107,19,0.090812281,0.0344,2.479663367,19,"CVM","Agriculture","CRO",0,"Cfb","Cf","Agriculture",405.1805352,-0.66744174,"CVM","",38,20,46,18,52,1132,34,747,1081,9571.6875,873.970031738281,30,1198,3562.90405273438,4006.91381835938,1.68048548698425,5,89,5,1,0.0185013876040703,0.9,66,0.787918827841043,301.254486083984,270.669281005859,60.1368176902449,11.54079671,1.986656276,0.787918827841043,0.9,0.125614550249845,7.80275774002075,3.95802330970764,2.21201395988464,8.672607421875,3.75041246414185,1.20628333091736,3.85723304748535
